league,year,h_a,xG,xGA,deep,deep_allowed,ppda_coef,oppda_coef
Bundesliga,2019,h,2.95018,0.502517,8,6,5.0,17.41176470588235
Ligue_1,2014,h,0.824897,0.651043,5,0,6.612903225806452,7.315789473684211
Bundesliga,2014,h,0.904346,0.825853,1,11,13.321428571428571,6.72
EPL,2014,a,1.39049,0.646215,7,9,9.625,10.8
EPL,2015,h,1.15114,1.33961,7,10,9.444444444444445,7.594594594594595
EPL,2014,a,0.598313,1.64782,6,8,12.210526315789474,6.782608695652174
Serie_A,2019,a,0.702205,1.17578,5,8,7.25,11.428571428571429
Serie_A,2015,h,0.733022,1.61272,1,6,4.333333333333333,13.133333333333333
Serie_A,2015,h,2.52155,1.26638,8,8,6.548387096774194,11.454545454545457
Ligue_1,2014,h,1.20718,1.22899,5,2,5.518518518518518,11.2
Serie_A,2014,a,2.74677,0.815884,12,9,9.1,10.636363636363637
La_liga,2015,a,0.607458,2.65653,2,3,5.518518518518518,8.3
Serie_A,2015,a,2.43427,1.55674,5,3,3.607142857142857,2.9285714285714284
Serie_A,2019,h,0.59465,3.11135,4,10,9.642857142857142,7.782608695652174
EPL,2015,a,0.310524,2.07199,3,10,13.0,10.5625
Bundesliga,2015,a,0.344918,2.98724,4,4,9.714285714285714,6.888888888888889
La_liga,2017,a,2.27463,3.39681,9,14,8.375,8.21875
Ligue_1,2017,a,1.64076,1.27542,3,2,13.04,9.045454545454543
La_liga,2014,a,1.76203,1.26597,9,6,7.0,10.4
EPL,2015,a,1.73182,1.01267,9,6,7.925925925925926,9.36
Ligue_1,2018,h,0.822305,0.426507,3,2,3.4857142857142858,11.52
Serie_A,2017,h,0.389049,2.00671,5,10,13.173913043478262,5.041666666666667
EPL,2019,h,1.32793,1.22762,4,4,11.833333333333334,14.61904761904762
Ligue_1,2019,h,3.77849,0.395322,14,1,10.77777777777778,15.0
EPL,2019,h,2.57262,0.639599,15,2,5.25,13.421052631578949
Serie_A,2015,h,1.02596,0.0962433,7,2,5.361111111111111,9.805555555555555
La_liga,2014,h,0.395949,1.41292,2,11,3.7714285714285714,6.512820512820513
EPL,2019,a,0.867601,1.36832,3,11,15.055555555555555,14.916666666666666
Ligue_1,2016,h,0.977434,0.701109,12,3,7.0,13.090909090909092
Bundesliga,2019,h,3.0351,0.9976,9,2,5.852941176470588,7.75
Bundesliga,2017,h,0.436556,0.879388,1,6,8.545454545454545,12.62962962962963
Serie_A,2018,a,0.85532,0.159979,5,2,8.709677419354838,11.0
EPL,2016,a,1.39142,0.613743,7,4,15.176470588235292,5.842105263157895
La_liga,2018,h,1.12097,0.924746,4,7,9.708333333333334,11.22222222222222
Bundesliga,2018,a,2.23642,3.27966,4,5,22.23076923076923,4.275862068965517
EPL,2016,h,0.179144,0.738826,2,7,21.705882352941178,8.25
Ligue_1,2019,h,0.390945,1.28128,2,5,9.56,7.444444444444445
EPL,2019,a,1.29896,1.66454,7,7,8.0,11.272727272727272
La_liga,2018,a,0.832999,1.13128,2,7,20.857142857142858,5.392857142857143
EPL,2017,a,0.147724,1.97034,1,4,18.23809523809524,11.857142857142858
Bundesliga,2016,a,1.59019,1.64298,5,9,14.347826086956522,11.857142857142858
Ligue_1,2016,h,1.21118,2.06104,3,10,10.625,13.157894736842104
EPL,2018,h,0.671382,0.931041,7,3,4.208333333333333,18.75
Ligue_1,2019,a,0.383769,0.870077,2,3,6.870967741935484,21.26315789473684
EPL,2014,a,1.05022,1.92097,10,9,17.157894736842106,12.466666666666669
Serie_A,2015,a,1.2492,0.68967,5,5,9.266666666666667,3.935483870967742
EPL,2017,h,0.56538,0.943754,6,4,7.964285714285714,10.5
Serie_A,2019,a,0.867428,2.44363,1,13,23.61111111111111,7.333333333333333
La_liga,2017,a,2.03465,0.82656,7,2,5.904761904761905,11.052631578947368
Bundesliga,2019,a,0.345513,1.45195,3,3,14.419354838709678,12.842105263157896
Serie_A,2016,h,0.993998,1.09216,3,5,11.52,9.105263157894736
Serie_A,2014,a,1.38681,2.10454,5,1,8.821428571428571,10.166666666666666
Bundesliga,2018,h,1.20925,0.747044,6,4,6.548387096774194,16.863636363636363
Serie_A,2017,a,0.42042,2.45812,4,4,17.6,8.8
La_liga,2017,a,2.06359,1.99991,5,6,11.043478260869565,13.533333333333331
Ligue_1,2017,h,0.907186,1.44922,5,2,21.75,11.947368421052632
Serie_A,2014,a,0.445433,2.06686,5,8,19.05,11.0
La_liga,2015,a,1.88493,2.53234,12,8,8.407407407407407,7.5
Ligue_1,2015,a,1.30852,0.975881,6,3,5.78125,5.40625
Serie_A,2015,a,0.483795,0.51533,4,4,10.96,7.433333333333334
Bundesliga,2014,a,2.21275,0.81246,5,8,9.84375,4.5
EPL,2016,h,2.15218,0.490661,7,4,8.52,16.928571428571427
La_liga,2018,a,0.596162,1.161,2,12,14.928571428571429,3.36
Serie_A,2015,h,1.32824,0.095766,3,3,8.423076923076923,11.057142857142855
Bundesliga,2018,a,0.181299,2.35335,3,20,30.8,5.708333333333333
Ligue_1,2017,a,0.953938,2.19279,11,1,5.022222222222222,10.0
La_liga,2014,h,0.263228,1.689,1,11,13.25,4.903225806451613
Ligue_1,2019,a,3.60638,0.96128,17,2,5.176470588235294,20.84210526315789
EPL,2014,h,1.31858,0.754219,10,8,6.25925925925926,12.258064516129032
EPL,2016,h,1.88587,1.12538,3,16,33.333333333333336,4.818181818181818
Ligue_1,2014,a,0.392234,0.582276,0,7,7.9375,4.696969696969697
Ligue_1,2015,h,2.60881,0.513408,8,3,7.666666666666667,19.666666666666668
La_liga,2019,h,1.87978,1.18616,5,3,5.357142857142857,7.762711864406779
Ligue_1,2016,a,0.974737,2.80202,1,10,11.045454545454543,5.130434782608695
Ligue_1,2017,h,1.77327,0.928593,12,2,5.814814814814815,24.75
Serie_A,2019,a,1.39814,1.24167,16,7,6.962962962962963,10.958333333333334
Ligue_1,2017,a,1.34601,1.84921,1,6,15.5,18.26923076923077
La_liga,2014,h,0.137119,0.112527,1,1,6.111111111111111,5.5
Serie_A,2015,a,0.425809,0.35378,3,6,11.592592592592592,19.133333333333333
La_liga,2017,a,1.28645,0.90657,6,3,10.0,11.35483870967742
Bundesliga,2016,h,1.63472,1.52234,5,4,7.777777777777778,11.064516129032258
Bundesliga,2017,h,3.36215,0.196571,16,0,8.777777777777779,47.11111111111112
EPL,2014,h,3.16614,0.569092,24,2,9.227272727272728,25.07692307692308
Serie_A,2016,a,1.32792,1.48319,2,6,16.61111111111111,12.375
Serie_A,2018,a,0.330703,1.82422,1,4,18.73333333333333,11.96551724137931
Serie_A,2017,a,2.23834,0.717607,10,5,6.083333333333333,19.444444444444443
La_liga,2015,a,1.53697,1.59507,4,1,5.333333333333333,8.727272727272727
Serie_A,2017,h,1.27704,0.59501,3,10,12.652173913043478,6.361111111111111
Ligue_1,2017,a,0.340789,1.886,3,2,7.555555555555555,11.181818181818182
Ligue_1,2014,h,1.53111,1.66725,10,5,6.129032258064516,11.115384615384617
Bundesliga,2019,a,0.396234,1.51574,6,7,5.941176470588236,10.28125
La_liga,2015,a,2.25068,0.340342,7,6,5.638888888888889,6.53125
La_liga,2016,h,1.38858,0.28961,8,2,7.722222222222222,10.772727272727272
Serie_A,2014,h,0.400686,1.45192,1,5,21.25,6.0
Serie_A,2014,h,1.46206,1.48015,5,6,10.088235294117649,5.730769230769231
Ligue_1,2017,a,0.175561,1.9645,2,6,17.133333333333333,9.12
Bundesliga,2018,a,0.668898,0.688908,4,8,11.842105263157896,17.0
Ligue_1,2018,h,1.91237,1.15355,4,2,12.157894736842104,14.157894736842104
Bundesliga,2015,a,1.29051,2.31638,6,5,9.833333333333334,17.192307692307693
Serie_A,2018,h,3.92751,0.474778,11,2,11.421052631578949,18.454545454545453
Ligue_1,2017,h,1.20793,4.87729,1,19,16.65,7.666666666666667
La_liga,2016,h,2.01155,0.989558,9,2,7.6,9.06896551724138
La_liga,2016,h,1.85655,0.92331,5,0,6.425,11.291666666666666
Ligue_1,2019,h,2.66328,0.79996,7,4,14.857142857142858,12.363636363636363
EPL,2018,a,0.501128,1.55832,1,7,3.863636363636364,15.333333333333334
Serie_A,2015,a,1.24571,1.56864,5,5,13.642857142857142,16.217391304347824
EPL,2017,h,0.875132,0.980905,2,8,12.0,8.894736842105264
Bundesliga,2016,h,1.78293,0.647916,5,3,7.666666666666667,13.8125
La_liga,2019,h,1.08227,0.454401,5,0,6.1875,12.129032258064516
EPL,2017,h,1.23205,3.0768,18,11,11.0,12.538461538461538
EPL,2019,h,0.654932,1.87099,2,8,7.933333333333334,5.611111111111111
Ligue_1,2014,a,0.692365,0.307003,2,3,11.185185185185183,5.137931034482759
La_liga,2016,a,2.28865,0.382392,13,0,5.047619047619048,14.55
Ligue_1,2016,a,2.62115,0.539316,8,2,9.1,9.61111111111111
Ligue_1,2017,h,0.949417,1.00748,0,5,21.75,5.04
Bundesliga,2014,a,1.33074,1.03699,7,4,4.0,13.434782608695652
EPL,2014,a,1.24431,1.41302,2,2,8.233333333333333,9.555555555555555
